date,AET,ANDV,APC,BBT,CELG,CSRA,DWDP,JEC,KORS,RHT,SCG,SNI,SYMC,TMK,TWX,UTX,VIAB,WCG
2017-01-03,121.33,87.112,70.036,23.14,118.75,31.729,56.382,57.521,43.08,70.12,71.223,33.252,23.828,25.54,95.222,108.91,35.283,136.9
2017-01-04,122.46,84.12,70.594,23.64,118.53,32.085,56.833,58.144,43.5,73.1,71.252,33.494,24.047,25.6766,95.172,108.98,35.971,136.63
2017-01-05,122.98,83.669,71.391,23.87,118.76,31.778,56.578,57.926,42.1,73.1,70.397,32.572,24.464,25.73,93.578,109.43,36.836,138.73
2017-01-06,122.74,82.178,71.521,24.28,119.64,31.847,56.226,57.353,42.47,73.8,69.911,32.475,24.821,25.88,93.244,110.6,37.141,140.68
2017-01-09,121.66,80.146,69.767,24.08,120.21,31.689,56.568,56.126,42.04,72.14,68.968,32.427,24.802,25.8201,92.063,109.57,37.682,138.85
2017-01-10,121.41,80.058,69.368,24.22,119.98,31.64,56.45,56.67,43.38,71.66,69.055,32.961,24.94,25.6701,91.915,109.34,37.74,141.09
2017-01-11,121.37,80.235,71.381,24.3544,117.24,32.274,57.028,56.69,42.87,72.33,69.512,32.233,25.277,25.46,92.191,109.08,38.231,143.29
2017-01-12,121.38,79.165,71.272,24.45,117.08,32.649,57.057,56.769,42.65,73.03,69.998,32.669,25.506,25.48,92.357,108.9,37.868,144.59
2017-01-13,121.05,78.116,71.023,24.29,117.48,32.729,56.578,57.531,42.39,73.36,70.066,32.913,25.943,25.47,92.643,108.31,38.035,145.78
2017-01-17,119.8,79.312,70.504,24.36,114.95,32.392,56.118,56.393,43.56,72.77,70.533,32.961,26.002,25.85,93.361,108.07,38.026,145.16
2017-01-18,119.73,80.098,69.677,24.37,115.22,32.481,56.49,57.392,43.23,73.6,70.357,33.155,26.21,25.77,93.598,108.51,39.077,145.19
2017-01-19,121.3,79.047,69.966,24.19,113.62,32.125,55.883,56.987,42.03,73.92,69.026,32.475,26.36,25.76,94.168,108.81,39.116,144.96
2017-01-20,121.27,78.969,69.817,23.71,112.66,32.224,56.167,56.759,42.46,74.2,68.889,32.621,26.448,25.8,94.582,108.87,39.539,146.02
2017-01-23,117.97,78.92,69.647,24.26,112.29,31.768,55.932,56.503,42.56,74.06,68.355,32.816,26.557,25.81,95.232,108.43,39.628,144.87
2017-01-24,116.41,80.442,70.963,24.32,112.45,31.907,58.379,59.47,43.4,75.43,67.791,33.107,27.143,25.865,94.818,109.68,40.403,144.57
2017-01-25,117.91,80.489,70.454,24.06,113.98,31.808,58.937,61.201,42.8,76.43,67.431,33.592,27.054,25.65,94.198,109.04,40.286,145.84
2017-01-26,116.44,80.402,70.923,24.34,111.53,31.58,60.121,60.557,42.06,75.25,67.003,33.592,27.004,25.7452,94.553,108.45,41.131,144.85
2017-01-27,116.25,80.479,69.797,24.42,113.62,31.352,60.013,59.707,41.53,75.7,66.605,33.592,27.143,25.8162,94.848,107.81,41.258,145.32
2017-01-30,115.51,81.844,68.62,24.63,113.18,30.768,58.878,58.738,41.79,75.51,66.245,33.786,27.064,25.8549,95.084,107.28,41.731,145.01
2017-01-31,117.39,79.332,69.318,24.6,116.15,30.718,58.369,57.916,42.81,75.88,66.799,34.223,27.341,25.8937,95.31,107.78,41.416,145.54
2017-02-01,120.36,79.459,68.152,24.5,117.41,31.243,59.024,58.204,41.34,76.07,66.39,33.835,27.044,25.8675,95.182,106.31,40.935,147.8
2017-02-02,119.21,80.96,68.889,24.7359,115.54,31.501,58.594,58.065,40.89,77.71,67.256,33.543,27.55,25.78,94.108,106.48,40.866,148.21
2017-02-03,121.3,81.951,70.185,24.82,115.64,32.046,58.937,58.58,41.02,78.13,67.771,33.641,28.195,25.9899,94.345,107.76,41.18,148.67
2017-02-06,119.55,81.785,68.889,24.715,116.09,31.986,58.75,58.54,41.28,78.22,67.567,33.932,28.046,25.98,94.828,108.77,41.101,148.01
2017-02-07,119.43,83.591,66.935,24.8099,116.26,32.234,58.526,58.164,36.82,78.86,67.48,33.883,28.225,25.97,94.69,109.33,40.953,146.04
2017-02-08,120.08,83.718,66.945,24.57,115.35,30.006,58.467,56.017,37.87,78.66,68.306,34.223,28.394,26.2,95.064,108.49,41.348,141.55
2017-02-09,119.96,85.935,68.212,24.42,116.74,30.264,58.987,55.869,38.27,79.31,67.236,35.146,28.771,26.01,94.838,108.19,43.136,142.97
2017-02-10,120.44,85.69,69.129,24.43,115.61,30.718,59.896,56.779,38.38,79.25,67.353,35.146,28.801,26.1334,95.044,109.13,42.899,142.55
2017-02-13,120.8,85.71,67.932,24.48,116.42,30.352,60.258,56.829,37.6,79.77,68.093,34.66,28.84,26.11,94.543,110.08,42.703,143.76
2017-02-14,124.51,86.357,68.122,24.522,117.03,29.699,60.415,56.907,38.1,80.09,65.01,34.999,28.463,26.04,94.857,109.64,43.49,142.66
2017-02-15,127.11,86.357,67.315,24.63,120.47,30.055,59.809,57.84,38.05,81.05,65.603,35.437,28.379,25.92,94.789,110.63,43.893,141.55
2017-02-16,128.16,85.592,66.397,24.6425,118.63,30.084,60.111,58.544,38.21,81.53,65.457,34.902,28.339,25.96,94.857,110.79,43.401,141.15
2017-02-17,123.98,85.014,66.566,24.64,121.16,29.729,59.965,57.136,38.3,82.6,63.834,34.902,28.657,26.022,94.946,110.87,43.234,137.45
2017-02-21,125.04,87.408,67.005,24.6142,119.44,30.332,59.926,57.711,38.31,83.75,65.108,36.796,28.667,26.152,94.886,111.21,43.932,139.71
2017-02-22,127.46,86.348,65.639,24.68,119.27,30.551,62.323,56.332,37.92,84.71,66.061,39.66,28.458,26.2217,94.789,111.37,43.744,139.18
2017-02-23,128.4,87.192,65.779,24.74,119.46,29.757,62.03,55.638,37.28,84.6,67.033,37.767,28.438,26.35,95.516,110.81,43.106,139.12
2017-02-24,127.64,86.836,64.573,24.84,118.23,30.035,62.206,55.569,37.3,84.86,67.013,38.737,28.697,26.23,96.132,111.17,43.136,140.56
2017-02-27,128.13,87.212,64.702,24.75,121.78,30.322,61.581,56.58,37.6,83.78,66.644,39.319,28.537,25.81,97.041,111.52,42.752,141.56
2017-02-28,127.43,84.111,64.453,24.86,123.51,29.53,60.943,55.946,36.5,82.81,67.431,36.602,28.438,25.65,97.051,111.26,42.703,141.2
2017-03-01,128.71,84.901,65.819,24.66,123.7,30.055,62.119,57.066,36.9,83.24,66.877,37.039,28.945,25.6,97.732,112.38,43.009,143.97
2017-03-02,128.18,82.156,63.894,24.63,122.24,29.827,62.011,56.332,37.03,82.43,68.043,36.699,29.055,25.64,97.792,111.4,41.396,143.58
2017-03-03,129.34,82.354,63.017,24.57,123.66,29.65,61.922,56.015,36.41,82.05,68.549,36.068,29.075,25.63,97.565,111.06,41.583,142.94
2017-03-06,129.95,83.291,63.107,24.63,123.52,28.382,62.167,55.956,36.51,82.03,68.472,36.018,28.975,25.65,96.932,110.38,41.465,143.15
2017-03-07,129.25,82.403,63.017,24.5101,122.08,28.223,61.815,56.045,36.02,81.97,67.879,35.406,29.145,25.7,97.081,111.0,42.192,144.43
2017-03-08,130.35,82.699,61.261,24.2611,123.04,28.322,61.942,56.213,36.4,82.05,66.684,35.823,29.483,25.5867,97.348,110.47,43.244,144.86
2017-03-09,131.45,80.715,61.8,24.15,125.13,28.105,62.196,55.41,36.46,81.56,66.057,35.823,29.453,25.36,97.288,110.65,43.677,143.13
2017-03-10,131.44,80.913,61.751,24.2,124.0,28.144,62.49,55.956,36.85,82.21,66.135,36.362,29.881,25.45,97.436,110.86,42.979,141.18
2017-03-13,131.26,82.393,62.679,24.37,124.43,28.53,62.754,55.975,36.92,82.88,66.311,35.431,30.597,25.4,97.456,111.03,42.604,142.04
2017-03-14,130.6,82.038,61.671,24.41,124.68,28.639,62.333,55.093,37.21,82.58,66.165,35.333,30.493,25.58,97.199,110.55,42.811,140.02
2017-03-15,132.73,84.398,63.935,24.65,126.88,28.827,63.077,55.866,37.61,83.27,67.439,36.018,30.567,25.74,97.575,111.79,43.403,144.25
2017-03-16,131.7,84.052,63.257,24.67,126.62,28.866,62.51,55.41,37.74,84.1,66.39,35.725,30.577,26.12,97.298,111.06,43.482,143.48
2017-03-17,130.44,84.26,63.107,24.7563,125.77,28.976,62.676,55.003,37.83,83.65,66.586,35.774,30.547,25.9294,97.397,112.15,42.85,144.73
2017-03-20,129.02,83.163,62.698,24.73,126.51,29.016,63.137,54.993,37.39,84.51,66.145,35.479,30.627,26.0,97.121,112.21,42.327,141.05
2017-03-21,127.76,80.971,61.681,24.69,123.82,28.669,61.746,54.081,36.74,81.31,66.968,35.137,29.851,25.86,96.32,110.88,41.567,138.24
2017-03-22,127.01,80.951,61.491,24.72,123.37,28.579,61.462,54.329,36.58,82.55,66.449,35.039,30.508,25.95,95.697,110.65,42.031,137.59
2017-03-23,126.52,80.755,60.653,24.8061,123.22,29.016,62.48,54.309,37.23,82.76,65.438,35.529,30.547,25.91,96.033,110.56,42.416,137.36
2017-03-24,125.47,79.264,60.204,24.8182,123.38,29.144,61.746,53.685,37.56,82.96,65.634,35.431,30.319,25.91,96.36,110.52,42.514,139.22
2017-03-27,124.96,80.409,59.805,24.8902,124.86,28.778,62.667,53.258,37.8,82.2,65.193,35.479,30.319,25.93,96.211,110.55,43.748,139.02
2017-03-28,125.71,80.597,61.002,24.9179,124.43,29.213,63.625,53.744,38.35,86.48,64.879,35.627,30.209,25.9999,96.171,111.45,44.341,139.35
2017-03-29,124.43,81.978,62.309,24.93,124.09,29.313,63.507,54.656,38.28,86.73,64.409,36.214,30.677,25.8845,96.32,110.78,44.726,137.42
2017-03-30,125.61,79.618,62.029,24.97,124.34,29.51,63.271,54.875,38.13,85.92,64.3,36.116,30.498,25.88,96.883,111.16,45.773,139.38
2017-03-31,126.24,80.034,61.86,24.94,124.43,29.006,62.64,54.825,38.11,86.5,64.104,36.362,30.528,25.9,96.557,110.93,46.03,140.21
2017-04-03,127.41,79.48,61.651,25.2,124.05,28.012,62.166,54.219,38.04,86.48,64.585,36.116,30.09,26.0,96.844,110.65,45.131,141.2
2017-04-04,126.54,78.878,62.569,25.06,124.77,27.774,62.304,54.219,36.82,85.61,64.859,36.656,30.229,26.09,97.121,111.7,44.973,140.32
2017-04-05,125.98,77.831,62.708,24.9816,124.21,27.794,62.62,53.862,36.84,84.68,65.478,36.41,30.13,26.2059,97.209,111.21,44.746,142.58
2017-04-06,127.51,78.315,62.747,25.04,124.3,27.852,62.709,54.131,37.07,85.0,65.036,36.803,30.409,26.2,97.14,111.13,45.002,143.95
2017-04-07,127.03,79.154,62.289,24.98,125.58,27.892,62.295,54.062,37.55,84.91,64.153,36.607,30.657,26.2489,97.298,111.7,44.696,142.95
2017-04-10,127.97,79.905,62.747,25.02,125.92,27.992,62.374,54.488,37.29,85.04,64.271,36.803,30.508,26.3289,97.525,111.59,44.263,143.41
2017-04-11,128.69,80.813,62.757,25.0174,125.06,28.012,61.604,54.161,37.76,85.16,64.055,36.901,30.249,26.35,97.555,111.84,44.223,146.14
2017-04-12,128.25,80.152,62.399,25.0,125.15,27.803,61.043,52.673,37.78,85.43,64.958,36.166,29.901,26.54,97.585,110.96,43.778,145.71
2017-04-13,127.8,78.76,60.952,25.04,124.45,27.505,60.195,52.534,37.56,85.93,64.545,35.039,29.891,26.38,97.101,110.81,43.215,144.81
2017-04-17,128.48,78.365,61.071,25.03,125.07,28.34,60.856,53.011,37.32,86.17,65.036,35.137,30.1,26.53,97.999,111.97,43.403,146.54
2017-04-18,127.71,76.232,60.273,25.1782,123.01,28.31,60.609,53.198,36.9,86.74,65.428,34.794,30.249,26.33,98.473,112.26,43.532,146.63
2017-04-19,128.43,74.534,58.996,25.15,122.92,28.528,60.678,53.436,36.87,87.27,65.34,35.283,30.259,26.19,98.815,111.63,43.748,148.3
2017-04-20,131.08,75.423,58.867,25.1332,123.27,28.737,61.062,53.238,37.58,87.42,64.781,35.283,30.349,26.21,98.815,112.64,43.758,150.24
2017-04-21,130.33,76.904,59.156,25.23,122.26,28.737,61.28,53.099,36.76,87.02,65.007,35.381,30.547,26.44,98.662,113.67,42.554,150.14
2017-04-24,131.75,79.026,59.236,25.3,123.15,28.836,61.93,54.209,36.65,87.44,65.478,35.479,30.817,26.532,98.785,114.99,42.208,152.65
2017-04-25,132.97,79.638,59.944,25.17,125.52,28.906,63.891,54.656,37.47,87.59,65.576,35.381,31.095,26.49,98.855,115.53,42.406,153.52
2017-04-26,133.13,79.056,59.825,25.0214,125.2,29.055,63.419,54.944,38.05,87.71,65.684,35.774,31.095,26.49,99.013,116.85,42.831,153.56
2017-04-27,133.12,78.839,56.99,25.1599,123.97,29.006,62.295,55.261,38.01,88.15,65.958,36.264,31.324,26.47,98.721,117.42,42.761,153.38
2017-04-28,134.2,78.701,56.892,25.08,124.05,28.896,61.91,54.468,37.33,88.08,65.046,36.166,31.473,26.52,98.099,117.63,42.021,153.41
2017-05-01,135.9,77.881,56.542,25.16,124.06,28.976,61.634,54.072,36.72,88.29,64.192,36.803,31.961,26.465,97.891,117.56,42.06,157.79
2017-05-02,138.02,78.543,56.152,25.15,123.82,29.095,61.634,54.696,37.9,88.18,64.339,36.999,31.751,26.47,98.158,117.95,41.922,158.58
2017-05-03,138.06,78.553,51.833,25.31,123.43,28.836,60.836,54.131,37.18,87.23,63.643,35.283,31.761,26.51,97.882,118.93,38.762,165.9
2017-05-04,139.19,77.921,51.823,25.13,124.48,29.304,60.55,54.329,37.51,87.89,63.682,34.696,32.061,26.3644,97.14,119.61,35.998,169.84
2017-05-05,139.86,79.836,52.471,25.2799,122.41,29.442,62.196,54.209,38.1,88.61,64.683,34.794,32.139,26.55,97.209,119.96,36.354,170.86
2017-05-08,140.65,80.813,52.191,25.28,118.36,29.452,61.486,54.259,38.24,88.2,65.036,35.675,32.289,26.62,97.228,119.69,35.949,170.01
2017-05-09,141.49,82.413,51.214,25.18,120.1,28.936,60.954,55.46,38.65,88.58,64.261,36.312,32.209,26.94,96.972,120.07,35.771,170.02
2017-05-10,142.12,82.028,51.963,24.9381,119.68,29.244,60.836,54.111,38.23,89.14,63.868,36.264,32.975,26.86,97.575,119.63,34.507,172.92
2017-05-11,143.46,80.793,51.423,24.9547,119.52,29.134,60.984,54.111,37.18,88.55,64.241,35.479,31.304,26.83,97.674,119.89,34.078,172.73
2017-05-12,141.98,79.836,51.513,24.9684,119.32,28.906,61.161,52.316,36.74,88.25,63.868,34.941,30.856,26.73,97.545,119.44,34.171,172.62
2017-05-15,141.3,80.922,51.763,25.0268,119.04,29.114,61.516,52.385,36.47,89.66,64.399,34.402,31.841,26.54,97.368,119.53,33.332,173.33
2017-05-16,140.95,80.843,51.633,24.96,119.36,29.562,61.418,52.167,35.95,89.64,63.888,33.617,31.165,26.74,96.715,120.01,33.441,168.27
2017-05-17,138.17,81.35,51.623,25.06,117.1,28.608,59.347,51.431,35.82,85.6,63.81,32.98,29.971,26.565,95.609,118.86,33.224,167.53
2017-05-18,139.32,81.002,51.963,25.01,117.4,28.488,59.722,51.122,35.45,85.52,63.751,33.029,29.593,26.44,95.866,118.65,33.56,168.77
2017-05-19,140.45,82.811,53.179,25.07,116.93,28.568,60.422,52.724,36.41,86.18,64.281,33.813,28.876,26.51,96.478,120.43,34.764,170.79
2017-05-22,140.09,82.762,53.229,25.07,115.71,28.856,60.116,52.595,36.87,87.9,64.173,34.01,29.433,26.63,96.744,120.93,34.794,171.36
2017-05-23,140.98,82.523,53.449,25.01,117.31,29.075,59.919,52.893,36.97,87.63,64.82,33.715,29.642,26.57,97.071,121.33,33.885,171.25
2017-05-24,143.01,82.593,53.229,25.05,117.75,29.452,60.58,52.654,36.75,87.99,66.115,33.079,29.722,26.68,97.238,121.34,34.299,172.07
2017-05-25,144.3,83.696,51.953,25.1799,116.74,30.814,59.791,52.306,36.63,88.77,66.557,34.402,29.801,26.9,98.197,121.51,34.477,172.82
2017-05-26,144.64,82.96,51.723,25.249,116.78,30.268,60.195,52.376,36.76,88.58,66.566,34.402,29.463,26.52,98.299,121.11,34.685,172.97
2017-05-30,144.62,83.497,50.655,25.17,115.13,30.029,60.027,52.346,36.27,89.42,66.38,34.058,29.911,26.3886,98.17,120.54,34.606,172.49
2017-05-31,143.93,82.742,50.415,25.25,114.41,29.97,61.082,52.137,33.18,89.57,66.9,32.49,30.159,26.435,98.716,120.55,34.349,171.8
2017-06-01,146.7,82.752,50.995,25.2908,116.41,30.486,61.871,52.923,33.08,90.72,67.312,32.833,30.189,26.61,98.924,121.05,34.862,175.33
2017-06-02,146.78,84.004,49.947,25.3544,118.73,30.248,62.157,52.913,33.05,91.54,67.322,32.784,29.931,26.75,98.408,121.38,34.804,174.25
2017-06-05,147.05,86.32,49.528,25.3493,118.1,30.754,62.314,52.028,34.49,91.75,66.85,32.141,29.996,26.7999,98.924,120.25,34.764,174.24
2017-06-06,147.05,88.209,49.987,25.25,116.88,30.724,62.827,51.809,34.62,91.66,66.547,31.695,30.195,26.8014,98.725,119.39,34.626,177.36
